,Tweet
0,What are the odds that $GME &amp; $AMC spikes today is an orchestrated Pump &amp; Dump by the Hedge Funds &amp; Financial Institutions to screw back the retail traders?
1,"I’m not gay, but if any discord admin has any $GME shares I’ll gobble your balls for some. No homo of course"
